,amp,time,bout,n,condition
0,-0.05849823079876211,0.009174999999999999,0,0,hot
1,-0.07247820368880475,0.008199999999999999,0,1,hot
2,-0.10142497093712635,0.007625,0,2,hot
3,-0.12149034356753804,0.007174999999999999,0,3,hot
4,-0.13250985144378624,0.00695,0,4,hot
5,-0.15273969417830985,0.006725,0,5,hot
6,-0.16326579116738552,0.006574999999999999,0,6,hot
7,-0.16852883965053442,0.006475,0,7,hot
8,-0.1866205687524097,0.006375,0,8,hot
9,-0.19829795748696336,0.006325,0,9,hot
10,-0.19846242775054942,0.006274999999999999,0,10,hot
11,-0.20372547618114686,0.0062,0,11,hot
12,-0.19681772511433612,0.006274999999999999,0,12,hot
13,-0.20438335723440312,0.0062,0,13,hot
14,-0.20175183302061891,0.006149999999999999,0,14,hot
0,-0.09089887377939634,0.00845,1,0,hot
1,-0.10405649522228691,0.007775,1,1,hot
2,-0.12346398677156206,0.0072,1,2,hot
3,-0.1496147591288902,0.006874999999999999,1,3,hot
4,-0.1614566182495414,0.006625,1,4,hot
5,-0.16803542885556436,0.006574999999999999,1,5,hot
6,-0.17938387712271114,0.006449999999999999,1,6,hot
7,-0.17313400706699403,0.006425,1,7,hot
8,-0.1788904663292377,0.006325,1,8,hot
9,-0.17444976918489688,0.006225,1,9,hot
10,-0.18645609848826353,0.0062499999999999995,1,10,hot
11,-0.19073232535355297,0.0062,1,11,hot
12,-0.19023891456167125,0.0062,1,12,hot
13,-0.19747560616891555,0.006175,1,13,hot
14,-0.1941862008947668,0.006175,1,14,hot
0,-0.10109603040136039,0.008125,2,0,hot
1,-0.12395739757241145,0.007424999999999999,2,1,hot
2,-0.14648982407684447,0.00695,2,2,hot
3,-0.16178555878012535,0.006699999999999999,2,3,hot
4,-0.17296953680222213,0.00655,2,4,hot
5,-0.17576553130231543,0.0063999999999999994,2,5,hot
6,-0.17905493659373645,0.006274999999999999,2,6,hot
7,-0.18300222293941612,0.0063,2,7,hot
8,-0.18431798505366245,0.0062499999999999995,2,8,hot
9,-0.19007444429769513,0.006225,2,9,hot
10,-0.19106126588143535,0.006124999999999999,2,10,hot
11,-0.18645609848826353,0.0060999999999999995,2,11,hot
12,-0.1941862008947668,0.006124999999999999,2,12,hot
13,-0.19319937931191306,0.006075,2,13,hot
14,-0.1961598440596314,0.0060999999999999995,2,14,hot
0,-0.10866166271716315,0.007949999999999999,3,0,hot
1,-0.1295493866443069,0.0072,3,1,hot
2,-0.16014085612690937,0.0066749999999999995,3,2,hot
3,-0.16968013150520206,0.006574999999999999,3,3,hot
4,-0.17741023394840602,0.0063999999999999994,3,4,hot
5,-0.18415351478940853,0.006274999999999999,3,5,hot
6,-0.18810080112937802,0.0062,3,6,hot
7,-0.18826527139344704,0.006175,3,7,hot
8,-0.18316669320372378,0.0062,3,8,hot
9,-0.19303490904807685,0.006175,3,9,hot
10,-0.19287043878423282,0.0060999999999999995,3,10,hot
11,-0.1971466656416415,0.00605,3,11,hot
12,-0.2014228924937537,0.006075,3,12,hot
13,-0.1994492493319007,0.006075,3,13,hot
14,-0.20257418433764382,0.006,3,14,hot
0,-0.11507600314757294,0.007875,4,0,hot
1,-0.13645713783952557,0.006999999999999999,4,1,hot
2,-0.16129214798423835,0.00655,4,2,hot
3,-0.1803706987094521,0.00635,4,3,hot
4,-0.18415351478940853,0.0062499999999999995,4,4,hot
5,-0.1894165632417133,0.0062499999999999995,4,5,hot
6,-0.1866205687524097,0.006175,4,6,hot
7,-0.19484408194984668,0.0062,4,7,hot
8,-0.19747560616891555,0.006124999999999999,4,8,hot
9,-0.19879136827769792,0.006075,4,9,hot
10,-0.20027160064947727,0.00605,4,10,hot
11,-0.1979690169597678,0.006,4,11,hot
12,-0.20734382197248633,0.006025,4,12,hot
13,-0.20405441670779081,0.0060999999999999995,4,13,hot
14,-0.20109395196685695,0.006025,4,14,hot
